Site,NomSite,Distance,Arbre,Poids,Surface,Largeur,Longueur,CircArbre,dispersion,log_disp
4,Gornies,6.3,11,34.3,0.6769,0.38561,2.23557,28,0.01973469387755102,-3.9253770816394695
4,Gornies,6.3,11,38.1,0.90468,0.49976,2.4388,28,0.02374488188976378,-3.7403882711031815
4,Gornies,6.3,11,32.9,0.83275,0.45659,2.3649,28,0.025311550151975684,-3.6764944596796743
4,Gornies,6.3,11,27.3,0.75528,0.42782,2.31871,28,0.027665934065934063,-3.58755343974879
4,Gornies,6.3,11,38.2,0.84935,0.43453,2.42032,28,0.022234293193717277,-3.8061194435293464
4,Gornies,6.3,11,33,0.6769,0.37314,2.29099,28,0.02051212121212121,-3.8867392889340553
4,Gornies,6.3,11,26.7,0.73776,0.44317,2.20785,28,0.027631460674157303,-3.5888002759299455
4,Gornies,6.3,11,30.2,0.60128,0.38369,1.97691,28,0.019909933774834437,-3.9165364871378605
4,Gornies,6.3,11,28.8,0.70917,0.4,2.47575,28,0.02462395833333333,-3.704035394003138
4,Gornies,6.3,11,29.2,0.65661,0.3789,2.27252,28,0.02248664383561644,-3.7948337533322696
4,Gornies,6.3,12,29.3,0.82297,0.45601,2.60246,39,0.028087713310580204,-3.5724230469973395
4,Gornies,6.3,12,35.4,0.87781,0.44719,2.61135,39,0.024796892655367234,-3.6970369298159667
4,Gornies,6.3,12,35.9,1.04998,0.50244,2.68246,39,0.029247353760445682,-3.531966179125257
4,Gornies,6.3,12,44.5,0.87504,0.41538,2.71392,39,0.019663820224719103,-3.9289748685558687
4,Gornies,6.3,12,29.7,0.95279,0.50648,2.55839,39,0.03208047138047138,-3.4395078021868093
4,Gornies,6.3,12,31.8,0.95001,0.49066,2.55275,39,0.02987452830188679,-3.5107490579132934
4,Gornies,6.3,12,43.3,1.01353,0.48142,2.71356,39,0.023407159353348733,-3.7547133481419377
4,Gornies,6.3,12,34.6,0.99618,0.5155,2.53506,39,0.028791329479768785,-3.5476809968980656
4,Gornies,6.3,12,35.1,0.93786,0.45183,2.67693,39,0.02671965811965812,-3.6223557253185223
4,Gornies,6.3,12,27.5,0.98264,0.48761,2.69373,39,0.03573236363636363,-3.331698456423824
4,Gornies,6.3,12,29.7,0.87816,0.4485,2.58768,39,0.02956767676767677,-3.5210735154117296
4,Gornies,6.3,12,27.3,0.91114,0.49806,2.50648,39,0.033375091575091574,-3.399945418442519
4,Gornies,6.3,12,35.1,1.06282,0.51538,2.89462,39,0.03027977207977208,-3.497275377529326
4,Gornies,6.3,12,27.8,0.96216,0.46991,2.74819,39,0.034610071942446044,-3.3636105426763674
4,Gornies,6.3,12,27.9,0.81742,0.46025,2.36457,39,0.029298207885304663,-3.530228929153802
4,Gornies,6.3,12,33.9,0.95834,0.47703,2.65836,39,0.02826961651917404,-3.5659676723076577
4,Gornies,6.3,12,34,0.94203,0.46743,2.65603,39,0.027706764705882354,-3.5860786823952866
4,Gornies,6.3,12,30,0.98437,0.47228,2.86434,39,0.03281233333333333,-3.416950818008274
4,Gornies,6.3,12,34,0.91218,0.47293,2.66057,39,0.026828823529411766,-3.618278464577499
4,Gornies,6.3,12,28.4,0.79,0.44051,2.33393,39,0.027816901408450705,-3.58211147868823
4,Gornies,6.3,13,39.3,1.0803,0.50635,2.72698,42,0.027488549618320614,-3.593985738534413
4,Gornies,6.3,13,42.7,1.02185,0.53085,2.59122,42,0.023930913348946134,-3.732584210262171
4,Gornies,6.3,13,35.6,0.92126,0.47788,2.5348,42,0.025878089887640447,-3.6543586185786636
4,Gornies,6.3,13,38.7,0.99331,0.52394,2.5412,42,0.025666925064599482,-3.6625520783953114
4,Gornies,6.3,13,32.6,1.10171,0.52351,2.78826,42,0.033794785276073616,-3.387448770168791
4,Gornies,6.3,13,33.3,0.96068,0.56087,2.4382,42,0.02884924924924925,-3.545671308922973
4,Gornies,6.3,13,34.5,0.91515,0.47212,2.54835,42,0.02652608695652174,-3.62962661675348
4,Gornies,6.3,13,38.4,0.99331,0.51455,2.61679,42,0.025867447916666668,-3.6547699379532563
4,Gornies,6.3,13,35.8,0.95796,0.49137,2.47333,42,0.0267586592178771,-3.620897148943084
4,Gornies,6.3,13,51.9,1.13705,0.55994,2.5519,42,0.02190847784200385,-3.820881600996542
4,Gornies,6.3,13,55.9,1.03714,0.52816,2.60031,42,0.018553488372093023,-3.987097455204393
4,Gornies,6.3,13,32.7,0.6528,0.41846,1.9947,42,0.019963302752293577,-3.9138595532354477
4,Gornies,6.3,13,34.5,0.9617,0.45892,2.6624,42,0.02787536231884058,-3.580012051301015
4,Gornies,6.3,13,26.8,0.75305,0.47749,2.0298,42,0.028098880597014923,-3.5720255398410905
4,Gornies,6.3,13,38.4,0.98685,0.53083,2.5663,42,0.025699218750000002,-3.6612946863757014
4,Gornies,6.3,13,33.7,0.97903,0.53501,2.52588,42,0.029051335311572696,-3.538690830765656
4,Gornies,6.3,13,33.5,1.11802,0.53468,2.72948,42,0.033373731343283586,-3.3999861751704645
4,Gornies,6.3,13,36.2,0.92432,0.4946,2.42891,42,0.025533701657458562,-3.667756065780907
4,Gornies,6.3,13,44.2,1.22473,0.55859,2.81716,42,0.027708823529411765,-3.5860043775436763
